# KPoint 0,KPoint 1
-25.2170,-25.1723
-24.8441,-24.8000
-24.8432,-24.7993
-24.1142,-24.0491
-23.5811,-23.5775
-22.5220,-22.4977
-22.5195,-22.4952
-21.7208,-21.6963
-21.2226,-21.2020
-21.1911,-21.1769
-21.1903,-21.1759
-21.1723,-21.1592
-19.1299,-19.1231
-18.8175,-18.7949
-18.7953,-18.7742
-18.7950,-18.7739
-18.6713,-18.6446
-18.6522,-18.6436
-18.6510,-18.6426
-18.5592,-18.5569
-17.7473,-17.7410
-17.1224,-17.1124
-17.1212,-17.1111
-15.8018,-15.7823
-15.6297,-15.6014
-15.4704,-15.4487
-15.4695,-15.4479
-15.3069,-15.2964
-15.2210,-15.2046
-14.5931,-14.5776
-14.5869,-14.5769
-14.5858,-14.5547
-14.3267,-14.3168
-13.5708,-13.5495
-13.4778,-13.4516
-13.4759,-13.4496
-13.0809,-13.0559
-13.0796,-13.0546
-12.9623,-12.9178
-12.3234,-12.2863
-12.1233,-12.1152
-11.6963,-11.6354
-11.6428,-11.6342
-11.6414,-11.6335
-11.4210,-11.4012
-11.4106,-11.2961
-11.2939,-11.2676
-11.2922,-11.2660
-11.1044,-11.0987
-11.0596,-11.0360
-11.0579,-11.0343
-10.7516,-10.7387
-10.5681,-10.5639
-10.5671,-10.5629
-10.5476,-10.5460
-10.4622,-10.2936
-10.3057,-10.2844
-10.2977,-10.2718
-10.2424,-10.2226
-10.2413,-10.2215
-9.9074,-9.8200
-9.5269,-9.4625
-9.4604,-9.0189
-8.9600,-8.9527
-8.9594,-8.9520
-8.8925,-8.8872
-8.8161,-8.8122
-8.7325,-8.7261
-8.7290,-8.7227
-8.5446,-8.5398
-8.5165,-8.4958
-8.4720,-8.3840
-8.4704,-8.3505
-8.3863,-8.3484
-8.1458,-8.0482
-8.1407,-8.0442
-8.0843,-8.0327
-8.0840,-8.0313
-8.0169,-7.9748
-7.7413,-7.5020
-7.3945,-7.1470
-7.3937,-7.1457
-7.1893,-7.1150
-7.0882,-6.8515
-6.8508,-6.7199
-6.4502,-6.4204
-6.4403,-6.4179
-6.4378,-6.3968
-6.3588,-6.3595
-6.3409,-6.3411
-6.3399,-6.3402
-6.2676,-6.2646
-6.1346,-6.1079
-6.0176,-5.9259
-6.0146,-5.9225
-5.9388,-5.9114
-4.7529,-4.7579
-4.7483,-3.6757
-3.3243,-3.3052
-3.3235,-3.3044
-1.9323,-1.9308
-1.7761,-1.7530
-1.6551,-1.6540
-1.5417,-1.5324
-1.5394,-1.5303
-0.5177,-0.5141
-0.3428,-0.3445
-0.3366,-0.3358
-0.3348,-0.3341
-0.3251,-0.3239
-0.3244,-0.3230
-0.2706,-0.2685
-0.1847,-0.1771
-0.1015,-0.1000
-0.0689,-0.0684
-0.0609,-0.0596
0.0521,0.0383
0.1030,0.0587
